,tweet_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,stage,jpg_url,img_num,Prediction,breed,favorite_count,retweet_count,url
977,747651430853525504,2016-07-04 17:00:26,https://twitter.com/dog_rates/status/750011400160841729/photo/1,11,10,Piper,doggo,https://pbs.twimg.com/media/Cc_ney1W4AANuY3.jpg,1.0,mixed,pug,1272.0,143.0,p
981,747512671126323200,2016-07-03 01:41:06,"https://twitter.com/dog_rates/status/749417653287129088/photo/1,https://twitter.com/dog_rates/status/749417653287129088/photo/1,https://twitter.com/dog_rates/status/749417653287129088/photo/1,https://twitter.com/dog_rates/status/749417653287129088/photo/1",11,10,Finn,pupper,https://pbs.twimg.com/media/CdEbt0NXIAQH3Aa.jpg,1.0,dog,golden retriever,5127.0,1476.0,https://t.co/12lICZN2SP
989,746872823977771008,2016-07-01 17:33:49,https://twitter.com/dog_rates/status/748932637671223296/photo/1,13,10,Divine,doggo,https://pbs.twimg.com/media/CdM2xRpXEAUsR4k.jpg,1.0,mixed,toy poodle,5574.0,1943.0,https://t.co/9e48aPrBm2
1048,739606147276148736,2016-06-16 01:25:36,https://twitter.com/dog_rates/status/743253157753532416/photo/1,10,10,Kilo,puppo,https://pbs.twimg.com/media/CeaLlAPUMAIcC7U.jpg,1.0,dog,Great Pyrenees,4991.0,1495.0,https://t.co/sLUC4th3Zj
1083,733482008106668032,2016-06-03 01:07:16,"https://twitter.com/dog_rates/status/738537504001953792/photo/1,https://twitter.com/dog_rates/status/738537504001953792/photo/1",11,10,Bayley,puppo,https://pbs.twimg.com/media/Cfh7j6CWQAAndTd.jpg,1.0,mixed,Boston bull,2882.0,853.0,https://t.co/jeAENpjH7L
1096,730211855403241472,2016-05-28 01:18:00,"https://twitter.com/dog_rates/status/736365877722001409/photo/1,https://twitter.com/dog_rates/status/736365877722001409/photo/1,https://twitter.com/dog_rates/status/736365877722001409/photo/1,https://twitter.com/dog_rates/status/736365877722001409/photo/1",11,10,Rory,pupper,https://pbs.twimg.com/media/Cf4qRcmWEAA9V4h.jpg,1.0,dog,Mexican hairless,3500.0,959.0,https://t.co/K7pthJXjWE
1104,728760639972315136,2016-05-24 15:55:00,https://twitter.com/dog_rates/status/735137028879360001/photo/1,9,10,Buckley,pupper,https://pbs.twimg.com/media/Cgc9AjMVIAERdUA.jpg,1.0,dog,Labrador retriever,4297.0,1546.0,https://t.co/Cofwoy7Vpq
1117,727175381690781696,2016-05-17 01:00:32,https://twitter.com/dog_rates/status/732375214819057664/photo/1,11,10,Kyle,doggo,https://pbs.twimg.com/media/ChKDKmIWIAIJP_e.jpg,1.0,dog,chow,3597.0,1246.0,https://t.co/vXLkvyNQHp
1122,726224900189511680,2016-05-12 01:40:42,"https://twitter.com/dog_rates/status/730573383004487680/photo/1,https://twitter.com/dog_rates/status/730573383004487680/photo/1,https://twitter.com/dog_rates/status/730573383004487680/photo/1",10,10,Rooney,pupper,https://pbs.twimg.com/media/ChaXmuAXEAE66KP.jpg,2.0,mixed,toy poodle,4082.0,1044.0,https://t.co/Rgbni2Ns8z
1139,721503162398597120,2016-05-05 00:16:48,https://twitter.com/dog_rates/status/728015554473250816/photo/1,11,10,Rueben,pupper,https://pbs.twimg.com/media/Ch-TXpFXAAAwPGf.jpg,1.0,dog,German shepherd,4236.0,1649.0,https://t.co/IOAk9i4UvE
